施設名,住所,延床面積,建築年度,用途,管理者,出典ファイル,用途地域リンク
総合生涯学習センター,大阪市北区梅田1-2-2-500,"3,102.99",1976,教育・文化・スポーツ施設教育施設／生涯学習センター,指定管理（利用料金施設）教育委員会事務局生涯学習部 生涯学習担当 社会教育・生涯学習ｸﾞﾙｰﾌﾟ,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.498413&mpy=34.698402&gprj=3
キッズプラザ大阪,大阪市北区扇町2-1-7,"8,342.79",－,教育・文化・スポーツ施設教育施設／その他学習・集会施設,その他 教育委員会事務局生涯学習部 生涯学習担当,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.509933&mpy=34.704266&gprj=3
国際学校,大阪市北区中津6-7-34,"3,009.74",1984,教育・文化・スポーツ施設教育施設／国際施設,無償貸付 経済戦略局 立地交流推進部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.488632&mpy=34.708637&gprj=3
大学と連携した人材育成中核拠点（キャンパスポート大阪）,大阪市北区梅田1-2-2,418.08,1976,教育・文化・スポーツ施設教育施設／その他教育施設,無償貸付 経済戦略局 産業振興部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.498413&mpy=34.698402&gprj=3
北図書館,大阪市北区本庄東3-8-2,610.66,1984,教育・文化・スポーツ施設図書館／地域図書館,直営（一部委託） 教育委員会事務局中央図書館 総務担当,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.508667&mpy=34.715591&gprj=3
北区民センター,大阪市北区扇町2-1-27,"2,748.24",1989,教育・文化・スポーツ施設会館・ホール／区役所附設会館,指定管理（使用料施設）北区役所 地域課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.510284&mpy=34.705719&gprj=3
大淀コミュニティセンター,大阪市北区本庄東3-8-2,"1,699.89",1984,教育・文化・スポーツ施設会館・ホール／区役所附設会館,指定管理（使用料施設）北区役所 地域課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.508667&mpy=34.715591&gprj=3
男女共同参画センター子育て活動支援館（クレオ大阪子育て館）,大阪市北区天神橋6-4-20,"1,606.99",1999,教育・文化・スポーツ施設会館・ホール／男女共同参画センター,指定管理（無料施設）市民局 ﾀﾞｲﾊﾞｰｼﾃｨ推進室 男女共同参画課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.511459&mpy=34.71059&gprj=3
中央公会堂,大阪市北区中之島1-1-27,"9,886.56",1918,教育・文化・スポーツ施設会館・ホール／文化施設,指定管理（利用料金施設）経済戦略局 文化部 文化課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.504532&mpy=34.693508&gprj=3
旧桜宮公会堂,大阪市北区天満橋1-1-1,"2,447.40",1871,教育・文化・スポーツ施設会館・ホール／文化施設,直営／有償貸付 経済戦略局 文化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522003&mpy=34.697861&gprj=3
こども本の森 中之島,大阪市北区中之島1-1-28,815.10,2019,教育・文化・スポーツ施設会館・ホール／文化施設,指定管理（無料施設）経済戦略局 文化部 文化課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.504517&mpy=34.693432&gprj=3
北スポーツセンター,大阪市北区中津3-4-27,"2,094.44",1989,教育・文化・スポーツ施設スポーツ施設／スポーツセンター,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.492966&mpy=34.710835&gprj=3
扇町プール,大阪市北区扇町1-1,"4,356.24",2000,教育・文化・スポーツ施設スポーツ施設／屋内プール,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.507889&mpy=34.703709&gprj=3
菅南幼稚園,大阪市北区菅原町11-2,792.15,1982,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.509933&mpy=34.693649&gprj=3
滝川幼稚園,大阪市北区天満1-24-15,770.00,1986,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.518509&mpy=34.69614&gprj=3
中大淀幼稚園,大阪市北区大淀中4-10-21,674.00,1989,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.482208&mpy=34.704079&gprj=3
北区北老人福祉センター,大阪市北区同心1-5-27,790.87,1982,社会福祉・保健施設老人福祉施設／老人福祉センター,指定管理（無料施設）福祉局 高齢者施策部 高齢福祉課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.515717&mpy=34.701416&gprj=3
北区大淀老人福祉センター,大阪市北区本庄東1-24-11,504.90,1976,社会福祉・保健施設老人福祉施設／老人福祉センター,指定管理（無料施設）福祉局 高齢者施策部 高齢福祉課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.50676&mpy=34.711472&gprj=3
シルバー人材センター北部支部,大阪市北区池田町1-50,302.88,1962,社会福祉・保健施設老人福祉施設／その他老人福祉施設シルバー人材センター,無償貸付 福祉局 高齢者施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.515167&mpy=34.708214&gprj=3
なんばなかよし作業所,大阪市北区同心1-5-27,290.90,1982,社会福祉・保健施設障がい者福祉施設／障がい福祉サービス事業所（普通）,有償貸付 福祉局 障がい者施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.515717&mpy=34.701416&gprj=3
大淀保育所,大阪市北区大淀中4-9-11,771.92,2010,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.482285&mpy=34.703064&gprj=3
中津保育園,大阪市北区中津2-7-8-101,416.26,1972,社会福祉・保健施設児童福祉施設／保育園,有償貸付 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.49762&mpy=34.713921&gprj=3
長柄保育園,大阪市北区長柄東3-2-3,488.24,1978,社会福祉・保健施設児童福祉施設／保育園,無償貸付 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.518066&mpy=34.717102&gprj=3
同心保育園,大阪市北区同心1-5-27,"1,081.89",1982,社会福祉・保健施設児童福祉施設／保育園,有償貸付 こども青少年局 幼保施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.515717&mpy=34.701416&gprj=3
