未利用地登録年度,番号,所在（区）,町丁目,地番,街区番号,面積（㎡）,土地所管局,財産名称,現状,活用方針,分類基準,処分目途,貸付等の活用状況,備考,マップナビおおさかへのリンク,住居表示,緯度,経度,ジオコード精度
2006,2,北区,浮田２丁目,97外,14番,4315,北区役所,北天満地域防災拠点用地北天満地域集会施設整備用地,建物あり,事業予定地,基準９,,活用中,北区において活用検討中,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=581,大阪府大阪市北区浮田２丁目14番,34.709644,135.50795,街区番号
2006,3,北区,曽根崎１丁目,40,1番,150,北区役所,（仮称）曽根崎地域集会所,倉庫あり,事業予定地,基準９,,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=582,大阪府大阪市北区曽根崎１丁目1番,34.698479,135.50383,街区番号
2006,4‐1,北区,茶屋町,38‐1,1番,1732,教育委員会,もと梅田東小学校,建物あり,事業予定地,基準９,,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=583,大阪府大阪市北区茶屋町1番,34.705154,135.499817,街区番号
2006,10‐1,北区,中之島４丁目,32‐12内,3番,1306,契約管財局,もと中之島女子商業,工事ヤード,継続保有地,基準４,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=589,大阪府大阪市北区中之島４丁目3番,34.692181,135.490524,街区番号
2006,9‐1,北区,中之島４丁目,32‐12内,3番,2262,計画調整局,もと中之島市街地整備事業用地,工事ヤード,継続保有地,基準４,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=579,大阪府大阪市北区中之島４丁目3番,34.692181,135.490524,街区番号
2006,19,都島区,網島町,92‐1,11番,148,建設局,毛馬桜之宮公園,空地,事業予定地,基準７,,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=421,大阪府大阪市都島区網島町11番,34.697468,135.524094,街区番号
2006,27,都島区,都島中通２丁目,28‐4内,21番,320,建設局,都島公園,広場,事業予定地,基準８,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=423,大阪府大阪市都島区都島中通２丁目21番,34.70509,135.531174,街区番号
2006,30,都島区,御幸町２丁目,82,4番,260,都市整備局,御幸住宅,集会所／倉庫,事業予定地,基準７,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=424,大阪府大阪市都島区御幸町２丁目4番,34.715435,135.533325,街区番号
2006,49‐1,此花区,桜島３丁目,45‐2,4番,1757,計画調整局,もと公共用地先行取得事業用地（此花区桜島）,車庫及び資機材置場,処分検討地,基準２,A,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=81,大阪府大阪市此花区桜島３丁目4番,34.660618,135.426041,街区番号
2006,58,此花区,伝法５丁目,39‐22外,6番,6636,計画調整局,伝法西市街地整備事業用地,防災広場,継続保有地,基準６,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=74,大阪府大阪市此花区伝法５丁目6番,34.688541,135.448547,街区番号
